0x004A06D0 "Script_ChannelUnmoderator"
0x004A06F0 "Script_ChannelMute"
0x004A0710 "Script_ChannelUnmute"
0x004A0730 "Script_ChannelInvite"
0x004A0750 "Script_ChannelKick"
0x004A0770 "Script_ChannelBan"
0x004A0790 "Script_ChannelUnban"
0x004A07B0 "Script_ChannelToggleAnnouncements"
0x004A07D0 "Script_ChannelModerate"
0x004A07F0 "Script_ChangeChatColor"
0x004A09E0 "Script_ResetChatColors"
0x004A0A80 "Script_GetChatTypeIndex"
0x004A0BA0 "Script_GetChatWindowInfo"
0x004A0D20 "Script_GetChatWindowMessages"
0x004A0DC0 "Script_GetChatWindowChannels"
0x004A0E80 "Script_AddChatWindowMessages"
0x004A0F40 "Script_RemoveChatWindowMessages"
0x004A1000 "Script_AddChatWindowChannel"
0x004A1260 "Script_RemoveChatWindowChannel"
0x004A13F0 "Script_SetChatWindowName"
0x004A1470 "Script_SetChatWindowSize"
0x004A14F0 "Script_SetChatWindowColor"
0x004A15D0 "Script_SetChatWindowAlpha"
0x004A1650 "Script_SetChatWindowLocked"
0x004A16B0 "Script_SetChatWindowDocked"
0x004A1730 "Script_SetChatWindowShown"
0x004A1790 "Script_EnumerateServerChannels"
0x004A1850 "Script_RequestRaidInfo"
0x004A0040 "Script_GetGuildRecruitmentMode"
0x004A0060 "Script_SetGuildRecruitmentMode"
0x004A18F0 "Script_GetNumSavedInstances"
0x004A1920 "Script_GetSavedInstanceInfo"
0x004A7CE0 "Script_GetMapContinents"
0x004A7D10 "Script_GetMapZones"
0x004A7DB0 "Script_SetMapZoom"
0x004A7E20 "Script_SetMapToCurrentZone"
0x004A7E30 "Script_GetMapInfo"
0x004A7ED0 "Script_GetCurrentMapContinent"
0x004A7F00 "Script_GetCurrentMapZone"
0x004A7F30 "Script_ProcessMapClick"
0x004A7FA0 "Script_UpdateMapHighlight"
0x004A8610 "Script_GetPlayerMapPosition"
0x004A86D0 "Script_GetCorpseMapPosition"
0x004A8710 "Script_GetNumMapLandmarks"
0x004A8740 "Script_GetMapLandmarkInfo"
0x004A88F0 "Script_GetWorldLocMapPosition"
0x004A89D0 "Script_GetNumMapOverlays"
0x004A8A00 "Script_GetMapOverlayInfo"
0x004A8BB0 "Script_CreateWorldMapArrowFrame"
0x004A8C60 "Script_CreateMiniWorldMapArrowFrame"
0x004A8D10 "Script_UpdateWorldMapArrowFrames"
0x004A8D20 "Script_PositionWorldMapArrowFrame"
0x004A8F20 "Script_PositionMiniWorldMapArrowFrame"
0x004A9120 "Script_ShowWorldMapArrowFrame"
0x004A9170 "Script_ShowMiniWorldMapArrowFrame"
0x004AB080 "Script_GetNumBattlefields"
0x004AB0B0 "Script_GetBattlefieldInfo"
0x004AB1F0 "Script_GetBattlefieldInstanceInfo"
0x004AB290 "Script_JoinBattlefield"
0x004AB300 "Script_SetSelectedBattlefield"
0x004AB360 "Script_GetSelectedBattlefield"
0x004AB3B0 "Script_AcceptBattlefieldPort"
0x004AB4A0 "Script_GetBattlefieldStatus"
0x004AB620 "Script_GetBattlefieldPortExpiration"
0x004AB6D0 "Script_GetBattlefieldInstanceExpiration"
0x004AB730 "Script_GetBattlefieldInstanceRunTime"
0x004AB790 "Script_GetBattlefieldEstimatedWaitTime"
0x004AB820 "Script_GetBattlefieldTimeWaited"
0x004AB2F0 "Script_CloseBattlefield"
0x004AB8C0 "Script_ShowBattlefieldList"
0x004AB990 "Script_RequestBattlefieldScoreData"
0x004AB9A0 "Script_GetNumBattlefieldScores"
0x004AB9D0 "Script_GetBattlefieldScore"
0x004ABC40 "Script_GetBattlefieldWinner"
0x004ABC90 "Script_SetBattlefieldScoreFaction"
0x004ABE60 "Script_LeaveBattlefield"
0x004ABCD0 "Script_GetNumBattlefieldStats"
0x004ABD00 "Script_GetBattlefieldStatInfo"
0x004ABDC0 "Script_GetBattlefieldStatData"
0x004ABEF0 "Script_RequestBattlefieldPositions"
0x004ABF00 "Script_GetNumBattlefieldPositions"
0x004ABF90 "Script_GetBattlefieldPosition"
0x004AC1C0 "Script_GetNumBattlefieldFlagPositions"
0x004AC230 "Script_GetBattlefieldFlagPosition"
0x004AC380 "Script_CanJoinBattlefieldAsGroup"
0x004AC3D0 "Script_GetBattlefieldMapIconScale"
0x004ADED0 "Script_CloseMail"
0x004ADEE0 "Script_ClearSendMail"
0x004ADEF0 "Script_ClickSendMailItemButton"
0x004AE0F0 "Script_SetSendMailMoney"
0x004AE150 "Script_GetSendMailMoney"
0x004AE180 "Script_SetSendMailCOD"
0x004AE1C0 "Script_GetSendMailCOD"
0x004AE1F0 "Script_GetNumStationeries"
0x004AE230 "Script_GetStationeryInfo"
0x004AE380 "Script_SelectStationery"
0x004AE3F0 "Script_GetSelectedStationeryTexture"
0x004AE430 "Script_GetNumPackages"
0x004AE450 "Script_GetPackageInfo"
0x004AE550 "Script_SelectPackage"
0x004AE590 "Script_GetSendMailItem"
0x004AE730 "Script_GetSendMailPrice"
0x004AE800 "Script_SendMail"
0x004AEAB0 "Script_CheckInbox"
0x004AEB90 "Script_GetInboxNumItems"
0x004AEBC0 "Script_GetInboxHeaderInfo"
0x004AF110 "Script_GetInboxText"
0x004AF360 "Script_GetInboxInvoiceInfo"
0x004AF5D0 "Script_GetInboxItem"
0x004AF7D0 "Script_TakeInboxMoney"
0x004AF8E0 "Script_TakeInboxItem"
0x004AFA60 "Script_TakeInboxTextItem"
0x004AFBA0 "Script_ReturnInboxItem"
0x004AFCD0 "Script_DeleteInboxItem"
0x004AFE00 "Script_InboxItemCanDelete"
0x004AFEA0 "Script_HasNewMail"
0x004B3CB0 "Script_GetNumSpellTabs"
0x004B3CE0 "Script_GetSpellTabInfo"
0x004B3E50 "Script_GetSpellTexture"
0x004B3FE0 "Script_GetSpellName"
0x004B40A0 "Script_GetSpellCooldown"
0x004B4180 "Script_GetSpellAutocast"
0x004B4240 "Script_ToggleSpellAutocast"
0x004B42A0 "Script_PickupSpell"
0x004B42F0 "Script_CastSpell"
0x004B4370 "Script_IsCurrentCast"
0x004B43E0 "Script_UpdateSpells"
0x004B43F0 "Script_PlayerHasSpells"
0x004B4410 "Script_HasPetSpells"
0x004B44E0 "Script_IsSpellPassive"
0x004B4590 "Script_GetNumShapeshiftForms"
0x004B45C0 "Script_GetShapeshiftFormInfo"
0x004B4810 "Script_CastShapeshiftForm"
0x004B49A0 "Script_GetShapeshiftFormCooldown"
0x004B4AB0 "Script_CastSpellByName"
0x004B5960 "Script_TutorialsEnabled"
0x004B59B0 "Script_FlagTutorial"
0x004B5A00 "Script_ClearTutorials"
0x004B5A10 "Script_ResetTutorials"
0x004B7F40 "Script_GetNumBindings"
0x004B7F60 "Script_GetBinding"
0x004B8000 "Script_SetBinding"
0x004B80A0 "Script_GetBindingKey"
0x004B8120 "Script_GetBindingAction"
0x004B8180 "Script_RunBinding"
0x004B8200 "Script_GetCurrentBindingSet"
0x004B8220 "Script_LoadBindings"
0x004B8260 "Script_SaveBindings"
0x004BB530 "Script_GetNumRaidMembers"
0x004BB560 "Script_GetRaidRosterInfo"
